height,age,Seed
4.51,3,301
4.55,3,303
4.79,3,305
3.91,3,307
4.81,3,309
3.88,3,311
4.32,3,315
4.57,3,319
3.77,3,321
4.33,3,323
4.38,3,325
4.12,3,327
3.93,3,329
3.46,3,331
10.89,5,301
10.92,5,303
11.37,5,305
9.48,5,307
11.2,5,309
9.4,5,311
10.43,5,315
10.57,5,319
9.03,5,321
10.79,5,323
10.48,5,325
9.92,5,327
9.34,5,329
9.05,5,331
28.72,10,301
29.07,10,303
30.21,10,305
25.66,10,307
28.66,10,309
25.99,10,311
27.16,10,315
27.9,10,319
25.45,10,321
28.97,10,323
27.93,10,325
26.54,10,327
26.08,10,329
25.85,10,331
41.74,15,301
42.83,15,303
44.4,15,305
39.07,15,307
41.66,15,309
39.55,15,311
40.85,15,315
41.13,15,319
38.98,15,321
42.44,15,323
40.2,15,325
37.82,15,327
37.79,15,329
39.15,15,331
52.7,20,301
53.88,20,303
55.82,20,305
50.78,20,307
53.31,20,309
51.46,20,311
51.33,20,315
52.43,20,319
49.76,20,321
53.17,20,323
50.06,20,325
48.43,20,327
48.31,20,329
49.12,20,331
60.92,25,301
63.39,25,303
64.1,25,305
59.07,25,307
63.05,25,309
59.64,25,311
60.07,25,315
60.69,25,319
60.28,25,321
61.62,25,323
58.49,25,325
56.81,25,327
56.43,25,329
59.49,25,331
